,model__n_estimators,model__max_depth,model__estimator__n_estimators,model__estimator__learning_rate,model__estimator__kernel,model__estimator__gamma,model__estimator__C,model__estimator__alpha,model__estimator__l1_ratio,model__estimator__n_neighbors,model__estimator__l2_leaf_reg,model__estimator__iterations,model__estimator__depth,model__estimator__subsample,model__estimator__max_depth,model__estimator__colsample_bytree,model__estimator__num_leaves
RF,200.0,,,,,,,,,,,,,,,,
GB,,,200.0,0.1,,,,,,,,,,,,,
SVR,,,,,linear,auto,50,,,,,,,,,,
Ridge,,,,,,,,10.0,,,,,,,,,
Lasso,,,,,,,,1.0,,,,,,,,,
ElasticNet,,,,,,,,0.01,0.1,,,,,,,,
KNN,,,,,,,,,,3.0,,,,,,,
CatBoost,,,,0.1,,,,,,,3.0,500.0,8.0,,,,
XGBoost,,,400.0,0.1,,,,,,,,,,0.8,7.0,0.8,
LightGBM,,,400.0,0.1,,,,,,,,,,1.0,10.0,1.0,63.0
